original_index,randomized_index,Blank,QC_Inter_Batch,QC_Intra_Batch,species,family,genus,site_of_collection,state,city,date,year,month,season,comments
QC,QC,Blank,QC_Inter_Batch,QC_Intra_Batch,,,,,,,,,,,
QC,QC,Blank,QC_Inter_Batch,QC_Intra_Batch,,,,,,,,,,,
QC,QC,Blank,QC_Inter_Batch,QC_Intra_Batch,,,,,,,,,,,
0,0,,,,Acer rubrum,Sapindaceae,Acer,Forest Park,New York,NY,2023-04-26,2023.0,April,Spring,Sample collected near river
101,1,,,,Ulmus americana,Ulmaceae,Ulmus,Central Park,New York,NY,2024-03-04,2024.0,March,Spring,Sample collected near water body
107,2,,,,Pinus strobus,Pinaceae,Pinus,Greenwood Park,Maine,Portland,2023-06-27,2023.0,June,Summer,Sample from pine forest edge
10,3,,,,Carya ovata,Juglandaceae,Carya,Ozark National Forest,Arkansas,Fayetteville,2024-02-27,2024.0,February,Winter,Sample from hilly area
86,4,,,,Ulmus americana,Ulmaceae,Ulmus,Central Park,New York,NY,2024-03-26,2024.0,March,Spring,Sample collected near water body
106,5,,,,Quercus alba,Fagaceae,Quercus,Highland Park,Illinois,Chicago,2023-05-16,2023.0,May,Spring,Sample collected near oak grove
126,6,,,,Aesculus flava,Sapindaceae,Aesculus,Yellowstone Park,Wyoming,Cody,2023-10-05,2023.0,October,Fall,Sample from valley
128,7,,,,Alnus rubra,Betulaceae,Alnus,Redwood National Park,California,Crescent City,2023-12-02,2023.0,December,Winter,Collected near redwoods
22,8,,,,Tsuga canadensis,Pinaceae,Tsuga,Acadia National Park,Maine,Bar Harbor,2023-11-16,2023.0,November,Fall,Sample from coastal area
79,9,,,,Picea glauca,Pinaceae,Picea,Rocky Mountain Park,Colorado,Denver,2023-08-08,2023.0,August,Summer,Collected at high altitude
174,10,,,,Populus tremuloides,Salicaceae,Populus,Yosemite National Park,California,Yosemite,2024-01-07,2024.0,January,Winter,Sample from lower valley
144,11,,,,Populus tremuloides,Salicaceae,Populus,Yosemite National Park,California,Yosemite,2024-01-22,2024.0,January,Winter,Sample from lower valley
125,12,,,,Fagus grandifolia,Fagaceae,Fagus,Great Smoky Mountains,Tennessee,Knoxville,2023-09-12,2023.0,September,Fall,Collected from dense forest
41,13,,,,Ulmus americana,Ulmaceae,Ulmus,Central Park,New York,NY,2024-03-08,2024.0,March,Spring,Sample collected near water body
60,14,,,,Acer rubrum,Sapindaceae,Acer,Forest Park,New York,NY,2023-04-13,2023.0,April,Spring,Sample collected near river
188,15,,,,Alnus rubra,Betulaceae,Alnus,Redwood National Park,California,Crescent City,2023-12-18,2023.0,December,Winter,Collected near redwoods
90,16,,,,Acer rubrum,Sapindaceae,Acer,Forest Park,New York,NY,2023-04-11,2023.0,April,Spring,Sample collected near river
111,17,,,,Aesculus flava,Sapindaceae,Aesculus,Yellowstone Park,Wyoming,Cody,2023-09-27,2023.0,October,Fall,Sample from valley
50,18,,,,Fagus grandifolia,Fagaceae,Fagus,Great Smoky Mountains,Tennessee,Knoxville,2023-09-04,2023.0,September,Fall,Collected from dense forest
117,19,,,,Fraxinus americana,Oleaceae,Fraxinus,Shenandoah National Park,Virginia,Charlottesville,2024-04-23,2024.0,April,Spring,Sample from forest trail
87,20,,,,Fraxinus americana,Oleaceae,Fraxinus,Shenandoah National Park,Virginia,Charlottesville,2024-04-19,2024.0,April,Spring,Sample from forest trail
80,21,,,,Fagus grandifolia,Fagaceae,Fagus,Great Smoky Mountains,Tennessee,Knoxville,2023-09-28,2023.0,September,Fall,Collected from dense forest
89,22,,,,Larix laricina,Pinaceae,Larix,Boundary Waters Canoe Area,Minnesota,Ely,2024-06-17,2024.0,June,Summer,Sample from wetland
QC,QC,Blank,QC_Inter_Batch,QC_Intra_Batch,,,,,,,,,,,
QC,QC,Blank,QC_Inter_Batch,QC_Intra_Batch,,,,,,,,,,,
QC,QC,Blank,QC_Inter_Batch,QC_Intra_Batch,,,,,,,,,,,
63,23,,,,Betula papyrifera,Betulaceae,Betula,Lake Park,Minnesota,Duluth,2023-06-28,2023.0,July,Summer,Sample near lake shore
2,24,,,,Pinus strobus,Pinaceae,Pinus,Greenwood Park,Maine,Portland,2023-06-24,2023.0,June,Summer,Sample from pine forest edge
170,25,,,,Fagus grandifolia,Fagaceae,Fagus,Great Smoky Mountains,Tennessee,Knoxville,2023-09-17,2023.0,September,Fall,Collected from dense forest
29,26,,,,Larix laricina,Pinaceae,Larix,Boundary Waters Canoe Area,Minnesota,Ely,2024-06-24,2024.0,June,Summer,Sample from wetland
124,27,,,,Picea glauca,Pinaceae,Picea,Rocky Mountain Park,Colorado,Denver,2023-08-13,2023.0,August,Summer,Collected at high altitude
193,28,,,,Juglans nigra,Juglandaceae,Juglans,Cuyahoga Valley National Park,Ohio,Cleveland,2024-04-26,2024.0,May,Spring,Sample from valley floor
145,29,,,,Carya ovata,Juglandaceae,Carya,Ozark National Forest,Arkansas,Fayetteville,2024-02-29,2024.0,February,Winter,Sample from hilly area
13,30,,,,Juglans nigra,Juglandaceae,Juglans,Cuyahoga Valley National Park,Ohio,Cleveland,2024-05-19,2024.0,May,Spring,Sample from valley floor
8,31,,,,Alnus rubra,Betulaceae,Alnus,Redwood National Park,California,Crescent City,2023-12-16,2023.0,December,Winter,Collected near redwoods
53,32,,,,Alnus rubra,Betulaceae,Alnus,Redwood National Park,California,Crescent City,2023-12-29,2023.0,December,Winter,Collected near redwoods
67,33,,,,Tsuga canadensis,Pinaceae,Tsuga,Acadia National Park,Maine,Bar Harbor,2023-10-28,2023.0,November,Fall,Sample from coastal area
32,34,,,,Pinus strobus,Pinaceae,Pinus,Greenwood Park,Maine,Portland,2023-06-24,2023.0,June,Summer,Sample from pine forest edge
21,35,,,,Aesculus flava,Sapindaceae,Aesculus,Yellowstone Park,Wyoming,Cody,2023-09-29,2023.0,October,Fall,Sample from valley
100,36,,,,Carya ovata,Juglandaceae,Carya,Ozark National Forest,Arkansas,Fayetteville,2024-02-23,2024.0,February,Winter,Sample from hilly area
180,37,,,,Acer rubrum,Sapindaceae,Acer,Forest Park,New York,NY,2023-04-29,2023.0,April,Spring,Sample collected near river
54,38,,,,Populus tremuloides,Salicaceae,Populus,Yosemite National Park,California,Yosemite,2024-01-23,2024.0,January,Winter,Sample from lower valley
162,39,,,,Fraxinus americana,Oleaceae,Fraxinus,Shenandoah National Park,Virginia,Charlottesville,2024-04-10,2024.0,April,Spring,Sample from forest trail
47,40,,,,Pinus strobus,Pinaceae,Pinus,Greenwood Park,Maine,Portland,2023-06-10,2023.0,June,Summer,Sample from pine forest edge
167,41,,,,Pinus strobus,Pinaceae,Pinus,Greenwood Park,Maine,Portland,2023-06-22,2023.0,June,Summer,Sample from pine forest edge
105,42,,,,Acer rubrum,Sapindaceae,Acer,Forest Park,New York,NY,2023-04-06,2023.0,April,Spring,Sample collected near river
153,43,,,,Betula papyrifera,Betulaceae,Betula,Lake Park,Minnesota,Duluth,2023-06-22,2023.0,July,Summer,Sample near lake shore
173,44,,,,Alnus rubra,Betulaceae,Alnus,Redwood National Park,California,Crescent City,2023-12-02,2023.0,December,Winter,Collected near redwoods
172,45,,,,Tsuga canadensis,Pinaceae,Tsuga,Acadia National Park,Maine,Bar Harbor,2023-11-04,2023.0,November,Fall,Sample from coastal area
QC,QC,Blank,QC_Inter_Batch,QC_Intra_Batch,,,,,,,,,,,
QC,QC,Blank,QC_Inter_Batch,QC_Intra_Batch,,,,,,,,,,,
QC,QC,Blank,QC_Inter_Batch,QC_Intra_Batch,,,,,,,,,,,
59,46,,,,Larix laricina,Pinaceae,Larix,Boundary Waters Canoe Area,Minnesota,Ely,2024-06-12,2024.0,June,Summer,Sample from wetland
176,47,,,,Ulmus americana,Ulmaceae,Ulmus,Central Park,New York,NY,2024-03-17,2024.0,March,Spring,Sample collected near water body
7,48,,,,Tsuga canadensis,Pinaceae,Tsuga,Acadia National Park,Maine,Bar Harbor,2023-11-04,2023.0,November,Fall,Sample from coastal area
35,49,,,,Fagus grandifolia,Fagaceae,Fagus,Great Smoky Mountains,Tennessee,Knoxville,2023-09-10,2023.0,September,Fall,Collected from dense forest
20,50,,,,Fagus grandifolia,Fagaceae,Fagus,Great Smoky Mountains,Tennessee,Knoxville,2023-09-22,2023.0,September,Fall,Collected from dense forest
24,51,,,,Populus tremuloides,Salicaceae,Populus,Yosemite National Park,California,Yosemite,2023-12-28,2024.0,January,Winter,Sample from lower valley
1,52,,,,Quercus alba,Fagaceae,Quercus,Highland Park,Illinois,Chicago,2023-05-06,2023.0,May,Spring,Sample collected near oak grove
93,53,,,,Betula papyrifera,Betulaceae,Betula,Lake Park,Minnesota,Duluth,2023-06-21,2023.0,July,Summer,Sample near lake shore
40,54,,,,Carya ovata,Juglandaceae,Carya,Ozark National Forest,Arkansas,Fayetteville,2024-03-08,2024.0,February,Spring,Sample from hilly area
196,55,,,,Quercus alba,Fagaceae,Quercus,Highland Park,Illinois,Chicago,2023-05-04,2023.0,May,Spring,Sample collected near oak grove
66,56,,,,Aesculus flava,Sapindaceae,Aesculus,Yellowstone Park,Wyoming,Cody,2023-10-18,2023.0,October,Fall,Sample from valley
109,57,,,,Picea glauca,Pinaceae,Picea,Rocky Mountain Park,Colorado,Denver,2023-08-09,2023.0,August,Summer,Collected at high altitude
43,58,,,,Juglans nigra,Juglandaceae,Juglans,Cuyahoga Valley National Park,Ohio,Cleveland,2024-05-19,2024.0,May,Spring,Sample from valley floor
133,59,,,,Juglans nigra,Juglandaceae,Juglans,Cuyahoga Valley National Park,Ohio,Cleveland,2024-05-01,2024.0,May,Spring,Sample from valley floor
70,60,,,,Carya ovata,Juglandaceae,Carya,Ozark National Forest,Arkansas,Fayetteville,2024-03-10,2024.0,February,Spring,Sample from hilly area
154,61,,,,Picea glauca,Pinaceae,Picea,Rocky Mountain Park,Colorado,Denver,2023-08-09,2023.0,August,Summer,Collected at high altitude
42,62,,,,Fraxinus americana,Oleaceae,Fraxinus,Shenandoah National Park,Virginia,Charlottesville,2024-03-27,2024.0,April,Spring,Sample from forest trail
168,63,,,,Betula papyrifera,Betulaceae,Betula,Lake Park,Minnesota,Duluth,2023-06-23,2023.0,July,Summer,Sample near lake shore
55,64,,,,Carya ovata,Juglandaceae,Carya,Ozark National Forest,Arkansas,Fayetteville,2024-02-18,2024.0,February,Winter,Sample from hilly area
187,65,,,,Tsuga canadensis,Pinaceae,Tsuga,Acadia National Park,Maine,Bar Harbor,2023-11-15,2023.0,November,Fall,Sample from coastal area
182,66,,,,Pinus strobus,Pinaceae,Pinus,Greenwood Park,Maine,Portland,2023-06-27,2023.0,June,Summer,Sample from pine forest edge
